Site;File;Id;Contact;Group;IGp;Species;ISp;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
BST-1;BST-1_20180611_021009_693.wav;ChiroSp;Main;MyoHF;4;Myobec;4;2018;6;11;2;10;2018-06-11;02:10;2018-06-10
BST-1;BST-1_20180611_033111_908.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;11;3;31;2018-06-11;03:31;2018-06-10
BST-1;BST-1_20180611_223149_275.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;11;22;31;2018-06-11;22:31;2018-06-11
BST-1;BST-1_20180611_223356_607.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;11;22;33;2018-06-11;22:33;2018-06-11
BST-1;BST-1_20180612_020526_948.wav;Pipnat/Pippip;Main;PipMi;4;PippiT;4;2018;6;12;2;5;2018-06-12;02:05;2018-06-11
BST-1;BST-1_20180613_004249_111.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;13;0;42;2018-06-13;00:42;2018-06-12
BST-1;BST-1_20180611_221858_610.wav;Pipkuh/Pipnat;Main;Pip35;5;Pipkuh;3;2018;6;11;22;18;2018-06-11;22:18;2018-06-11
BST-1;BST-1_20180613_040854_609.wav;ChiroSp;Main;MyoLF;5;Myomyo;3;2018;6;13;4;8;2018-06-13;04:08;2018-06-12
BST-1;BST-1_20180612_040749_808.wav;Pipkuh/Pipnat;Main;Pip35;3;Pipkuh;3;2018;6;12;4;7;2018-06-12;04:07;2018-06-11
BST-1;BST-1_20180610_224533_601.wav;Nycnoc/Nyclei;Main;ENVsp;4;Nyclei;2;2018;6;10;22;45;2018-06-10;22:45;2018-06-10
BST-1;BST-1_20180611_023504_295.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;2;2018;6;11;2;35;2018-06-11;02:35;2018-06-10
BST-1;BST-1_20180610_235054_000.wav;ChiroSp;Main;MyoLF;2;Myomyo;2;2018;6;10;23;50;2018-06-10;23:50;2018-06-10
BST-1;BST-1_20180611_021004_693.wav;ChiroSp;Main;MyoHF;2;Myobec;2;2018;6;11;2;10;2018-06-11;02:10;2018-06-10
BST-1;BST-1_20180611_234837_073.wav;Pipnat/Pippip;Main;PipMi;2;PippiT;2;2018;6;11;23;48;2018-06-11;23:48;2018-06-11
BST-1;BST-1_20180612_044718_520.wav;ChiroSp;Main;MyoHF;2;Myobec;2;2018;6;12;4;47;2018-06-12;04:47;2018-06-11
BST-1;BST-1_20180611_223109_275.wav;ChiroSp;Secondary;MyoLF;3;Myomyo;1;2018;6;11;22;31;2018-06-11;22:31;2018-06-11
BST-1;BST-1_20180613_040859_609.wav;ChiroSp;Main;MyoLF;3;Myomyo;1;2018;6;13;4;8;2018-06-13;04:08;2018-06-12
BST-1;BST-1_20180610_223359_516.wav;Nycnoc/Nyclei;Main;ENVsp;1;Nyclei;1;2018;6;10;22;33;2018-06-10;22:33;2018-06-10
BST-1;BST-1_20180612_043415_108.wav;Nycnoc/Nyclei;Main;ENVsp;0;Nyclei;0;2018;6;12;4;34;2018-06-12;04:34;2018-06-11
BST-1;BST-1_20180613_022239_000.wav;ChiroSp;Main;MyoLF;0;Myomyo;0;2018;6;13;2;22;2018-06-13;02:22;2018-06-12
BST-1;BST-1_20180613_052450_415.wav;Nycnoc/Nyclei;Main;ENVsp;10;Nyclei;5;2018;6;13;5;24;2018-06-13;05:24;2018-06-12
BST-1;BST-1_20180611_230037_336.wav;Nycnoc/Nyclei;Main;ENVsp;10;Nyclei;2;2018;6;11;23;0;2018-06-11;23:00;2018-06-11
BST-1;BST-1_20180612_232429_891.wav;Nycnoc/Nyclei;Main;ENVsp;8;Nyclei;2;2018;6;12;23;24;2018-06-12;23:24;2018-06-12
BST-1;BST-1_20180610_223405_367.wav;Nycnoc/Nyclei;Main;ENVsp;10;Nyclei;1;2018;6;10;22;34;2018-06-10;22:34;2018-06-10
BST-1;BST-1_20180610_224755_186.wav;Sérotules;Main;ENVsp;10;Eptser;0;2018;6;10;22;47;2018-06-10;22:47;2018-06-10
BST-1;BST-1_20180611_231953_121.wav;Sérotules;Main;ENVsp;6;Eptser;0;2018;6;11;23;19;2018-06-11;23:19;2018-06-11
BST-1;BST-1_20180610_225740_713.wav;Hypsav;Main;Pip35;10;Hypsav;10;2018;6;10;22;57;2018-06-10;22:57;2018-06-10
BST-1;BST-1_20180611_232411_464.wav;Hypsav;Main;Pip35;10;Hypsav;10;2018;6;11;23;24;2018-06-11;23:24;2018-06-11
BST-1;BST-1_20180610_224032_010.wav;Hypsav;Main;Pip35;10;Hypsav;10;2018;6;10;22;40;2018-06-10;22:40;2018-06-10
BST-1;BST-1_20180611_232416_464.wav;Hypsav;Main;Pip35;8;Hypsav;8;2018;6;11;23;24;2018-06-11;23:24;2018-06-11
BST-1;BST-1_20180611_225554_002.wav;Myosp;Main;MyoHF;8;Myomys;1;2018;6;11;22;55;2018-06-11;22:55;2018-06-11
BST-1;BST-1_20180611_014810_000.wav;Myosp;Main;MyoHF;8;Myobec;0;2018;6;11;1;48;2018-06-11;01:48;2018-06-10
BST-1;BST-1_20180612_223735_911.wav;Myomyo/Myobly;Main;MyoLF;9;Myomyo;5;2018;6;12;22;37;2018-06-12;22:37;2018-06-12
BST-1;BST-1_20180611_015700_136.wav;Myomyo/Myobly;Main;MyoLF;6;Myomyo;5;2018;6;11;1;57;2018-06-11;01:57;2018-06-10
BST-1;BST-1_20180612_223740_911.wav;Myomyo/Myobly;Secondary;MyoLF;7;Myomyo;4;2018;6;12;22;37;2018-06-12;22:37;2018-06-12
BST-1;BST-1_20180611_041446_474.wav;Myomyo;Main;MyoLF;6;Myomyo;6;2018;6;11;4;14;2018-06-11;04:14;2018-06-10
BST-1;BST-1_20180611_222954_275.wav;Pipkuh/Pipnat;Main;Pip35;10;Pipkuh;5;2018;6;11;22;29;2018-06-11;22:29;2018-06-11
BST-1;BST-1_20180612_223810_911.wav;Pipkuh/Pipnat;Main;Pip35;10;Pipkuh;5;2018;6;12;22;38;2018-06-12;22:38;2018-06-12
BST-1;BST-1_20180613_000529_000.wav;Pipkuh/Pipnat;Main;Pip35;10;Pipkuh;5;2018;6;13;0;5;2018-06-13;00:05;2018-06-12
BST-1;BST-1_20180613_015435_059.wav;Pipkuh/Pipnat;Main;Pip35;10;Pipkuh;5;2018;6;13;1;54;2018-06-13;01:54;2018-06-12
BST-1;BST-1_20180611_222856_237.wav;Pipkuh/Pipnat;Main;Pip35;9;Pipkuh;5;2018;6;11;22;28;2018-06-11;22:28;2018-06-11
BST-1;BST-1_20180613_040246_203.wav;Pipkuh/Pipnat;Main;Pip35;7;Pipkuh;5;2018;6;13;4;2;2018-06-13;04:02;2018-06-12
BST-1;BST-1_20180611_232330_311.wav;Pipkuh/Pipnat;Main;Pip35;10;Pipkuh;4;2018;6;11;23;23;2018-06-11;23:23;2018-06-11
